,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
99,99,2020-06-18,86200.0,-600.0,2484147,1159651,1098387,61264,671686,694926,-23240,-38024,652810,690834,26.27904065258618,-5.689690438654085,27.80970691347976,8.262752245997198,-1.5306662608935784,2.466198658936045,-0.9355323980424669
100,100,2020-06-17,86800.0,1400.0,4160612,2122494,1455117,667377,703010,774180,-71170,-596207,1335108,1931315,32.089221489530864,5.810180836944685,46.419012395291844,18.609305481812086,-14.32979090576098,16.04035656292872,-1.7105656571677437
101,101,2020-06-16,85400.0,3400.0,3518785,1727870,1194482,533388,507935,911513,-403578,-129810,1282980,1412790,36.460880673300586,4.371659183769721,40.149938117844655,-6.269074277447188,-3.6890574445440687,15.158300379250225,-11.469242934706156
102,102,2020-06-15,82000.0,-3200.0,4710114,1602598,1920588,-317990,755792,1023780,-267988,585978,2351724,1765746,49.929237381515605,13.468356708215019,37.48839200070317,-2.661546117141484,12.440845380812439,-6.751216637219397,-5.689628743593042
103,103,2020-06-12,85200.0,-3300.0,4742329,1157689,2161385,-1003696,905287,721391,183896,819800,2679353,1859553,56.498673963784455,6.569436582268858,39.211809218634976,1.7234172179318108,17.286864745149483,-21.16462185563254,3.877757110483056
104,104,2020-06-11,88500.0,-2300.0,5467344,1402726,3168142,-1765416,1220848,845229,375619,1389797,2843770,1453973,52.0137382977914,-4.484935665993064,26.593772039952125,-12.618037178682856,25.419966257839274,-32.29019428812235,6.870228030283077
105,105,2020-06-10,90800.0,1000.0,3045250,1308305,1169360,138945,905887,768605,137282,-276227,831058,1107285,27.290304572695174,-24.72343372509622,36.361054100648545,9.767282060696427,-9.07074952795337,4.562679582957064,4.508069944996306
106,106,2020-06-09,89800.0,-1200.0,3410081,1223896,1414787,-190891,481107,728422,-247315,438206,1705078,1266872,50.001099680623426,22.710795107928238,37.15078908682815,0.7897349861795959,12.85031059379528,-5.597843570284694,-7.252467023510585
107,107,2020-06-08,91000.0,600.0,3789382,1492490,1635982,-143492,892371,499341,393030,-249538,1404521,1654059,37.064645369614354,-12.936454311009063,43.649835250180644,6.499046163352488,-6.585189880566277,-3.786686061209981,10.371875941776258
108,108,2020-06-05,90400.0,2700.0,4000557,1766358,1134691,631667,794643,446057,348586,-980253,1439556,2419809,35.98388924342285,-1.0807561261915026,60.486802212791865,16.83696696261123,-24.502912969369014,15.789476315423077,8.713436653945939
