,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
18,18,2020-10-16,229000.0,-5500.0,446765,240685,146254,94431,55734,172073,-116339,21908,150346,128438,33.652143744474174,-13.637175480843956,28.748447170212522,6.8266592902107694,4.9036965742616365,21.136615446599443,-26.04031202086108
19,19,2020-10-15,234500.0,3000.0,602103,297216,187790,109426,102672,136232,-33560,-75866,202215,278081,33.584785327427376,-0.06735841704679757,46.18495506582761,17.436507895615087,-12.60016973840024,18.17396691263787,-5.57379717423763
20,20,2020-10-14,231500.0,-4000.0,402918,93489,135534,-42045,144367,127363,17004,25041,165062,140021,40.96664830064678,7.381862973219411,34.751736085258045,-11.433218980569565,6.214912215388739,-10.43512575759832,4.2202135422095814
21,21,2020-10-13,235500.0,8500.0,433346,226281,138889,87392,70334,59287,11047,-98439,136731,235170,31.552385391811622,-9.41426290883516,54.268413692522834,19.51667760726479,-22.71602830071121,20.166795124450207,2.5492331762610014
22,22,2020-10-12,227000.0,-2000.0,343564,107421,116728,-9307,90787,154639,-63852,73159,145356,72197,42.30827444086109,10.755889049049467,21.01413419333807,-33.25427949918476,21.294140247523025,-2.708956700934906,-18.585183546588116
23,23,2020-10-08,229000.0,-6000.0,499234,107245,298259,-191014,79118,102231,-23113,214127,312871,98744,62.67021076288874,20.361936322027653,19.77910158362611,-1.2350326097119542,42.89110917926263,-38.26141649006278,-4.629692689199854
24,24,2020-10-07,235000.0,1500.0,257835,82942,103849,-20907,79784,63812,15972,4935,95109,90174,36.887544359764966,-25.782666403123773,34.973529582872764,15.194427999246654,1.9140147768921985,-8.108674152074,6.194659375181803
25,25,2020-10-06,233500.0,-2500.0,309606,78408,128639,-50231,98621,79679,18942,31289,132577,101288,42.82119855558355,5.933654195818582,32.715128259788244,-2.2584013230845272,10.106070295795302,-16.22416878225874,6.118098486463441
26,26,2020-10-05,236000.0,6000.0,471265,179022,130770,48252,117120,176386,-59266,11014,175123,164109,37.160196492419345,-5.661002063164212,34.82308255440145,2.107954294613208,2.337113938017888,10.23882528938071,-12.575939227398598
27,27,2020-09-29,230000.0,5000.0,421193,146819,99590,47229,107553,210140,-102587,55358,166821,111463,39.60678358852117,2.446587096101837,26.463640183953675,-8.359442370447777,13.143143404567502,11.213149316346662,-24.356292720914166
28,28,2020-09-28,225000.0,3000.0,197119,64336,53218,11118,53362,88078,-34716,23598,79421,55823,40.29089027440278,0.6841066858816021,28.319441555608538,1.8558013716548665,11.971448718794232,5.640247769114088,-17.61169648790832
29,29,2020-09-25,222000.0,1000.0,340801,95154,106045,-10891,136844,140766,-3922,14813,108803,93990,31.92566923219123,-8.365221042211555,27.579144427393107,-0.7402971282154311,4.346524804798108,-3.1957065853680007,-1.1508182194301073
