,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
95,95,2020-06-24,380500.0,-1000.0,435877,132343,131447,896,27482,78058,-50576,49680,276052,226372,63.33254564934603,-3.126307431692723,51.93483482725632,4.098495720626744,11.397710822089717,0.20556257843382422,-11.603273400523543
96,96,2020-06-23,381500.0,1000.0,546387,160715,171757,-11042,44705,66623,-21918,32960,340967,308007,62.40393713613245,-0.9286085132135824,56.37158277923889,4.436747951982575,6.032354356893557,-2.0209119177432844,-4.011442439150272
97,97,2020-06-22,380500.0,-4500.0,431672,116104,124202,-8098,29246,58032,-28786,36884,286322,249438,66.328601345466,3.9246642093335495,57.784150929409364,1.412568150170472,8.544450416056636,-1.8759613780833595,-6.668489037973276
98,98,2020-06-19,385000.0,8000.0,595542,146744,158277,-11533,180760,111600,69160,-57627,268038,325665,45.00740501929336,-21.321196326172647,54.683800638745886,-3.100350290663478,-9.676395619452533,-1.936555272340154,11.612950891792686
99,99,2020-06-18,377000.0,-7500.0,549428,107263,185947,-78684,108013,102252,5761,72923,334152,261229,60.81815997728547,15.810754957992115,47.54562927262535,-7.138171366120537,13.272530704660118,-14.321075736948245,1.0485450322881251
100,100,2020-06-17,384500.0,8500.0,1041621,283631,260257,23374,292629,100890,191739,-215113,465361,680474,44.67661462278506,-16.141545354500412,65.32836799565294,17.782738723027578,-20.651753372867866,2.2440023770642106,18.407750995803656
101,101,2020-06-16,376000.0,27500.0,846115,247286,183574,63712,198119,165226,32893,-96605,400710,497315,47.358810563575865,2.6821959407908125,58.776289275098534,-6.552078720554391,-11.417478711522666,7.529945692961359,3.8875330185613066
102,102,2020-06-15,348500.0,-31000.0,1182814,258065,372949,-114884,255422,185523,69899,44985,669327,624342,56.587679888807536,9.22886932523167,52.784461462241744,-5.9918278128567986,3.8032184265658,-9.712769716963107,5.909551290397307
103,103,2020-06-12,379500.0,-8000.0,1010020,235420,292681,-57261,105434,76556,28878,28383,669166,640783,66.25274747034712,9.665067581539574,63.44260509692878,10.658143634687038,2.810142373418348,-5.669293677352924,2.8591513039345755
104,104,2020-06-11,387500.0,2500.0,1406550,377821,418997,-41176,180179,317523,-137344,178520,848550,670030,60.32846326117095,-5.9242842091761645,47.63641534250471,-15.806189754424059,12.69204791866624,-2.9274465891720878,-9.764601329494152
105,105,2020-06-10,385000.0,1500.0,472751,184436,142894,41542,51193,45770,5423,-46965,237122,284087,50.15790553589522,-10.170557725275735,60.09231075132575,12.455895408821034,-9.934405215430534,8.787289714881618,1.1471155005489146
106,106,2020-06-09,383500.0,8000.0,989349,213303,238348,-25045,259116,114905,144211,-119166,516930,636096,52.249509525961024,2.0916039900657992,64.2943996506794,4.202088899353647,-12.044890124718375,-2.531462608240368,14.576352732958744
107,107,2020-06-08,375500.0,4000.0,691875,170239,191914,-21675,200071,65662,134409,-112734,321565,434299,46.4773261065944,-5.77218341936662,62.7713098464318,-1.5230898042475969,-16.293983739837397,-3.1327913279132793,19.42677506775068
108,108,2020-06-05,371500.0,1000.0,648486,181076,228489,-47413,77738,124855,-47117,94530,389672,295142,60.089500775652816,13.612174669058426,45.5124705853326,-17.258839261099194,14.577030190320222,-7.311337484540915,-7.2656927057793075
109,109,2020-06-04,370500.0,4500.0,778566,260714,226377,34337,88975,70058,18917,-53254,428877,482131,55.08550334846372,-5.0039974271891055,61.925514343035786,16.413043757703182,-6.840010994572072,4.4102876313633015,2.429723363208771
110,110,2020-06-03,366000.0,-4000.0,955239,227171,314381,-87210,101951,248349,-146398,233608,626117,392509,65.54558597377202,10.460082625308305,41.09013555769813,-20.835378785337653,24.455450416073884,-9.129652369721086,-15.325798046352798
111,111,2020-06-02,370000.0,4000.0,694109,163123,212301,-49178,93020,42086,50934,-1756,437966,439722,63.09758265632631,-2.4480033174457105,63.350568858781536,22.260433301083413,-0.25298620245523395,-7.085054364660306,7.33804056711554
112,112,2020-06-01,366000.0,7000.0,532951,177807,149958,27849,50635,45854,4781,-32630,304509,337139,57.13639715471028,-5.961185501616028,63.258911231989444,-0.09165762679210587,-6.122514077279149,5.225433482627859,0.8970805946512906
113,113,2020-05-29,359000.0,0.0,733157,173204,171754,1450,199419,195102,4317,-5767,360534,366301,49.17555175767264,-7.960845397037637,49.96214998970207,-13.296761242287367,-0.7865982320294289,0.1977748285837822,0.5888234034456467
114,114,2020-05-28,359000.0,-6000.0,1477784,290583,328847,-38264,218530,326277,-107747,146011,968671,822660,65.54888941820997,16.373337660537324,55.66848741088008,5.706337421178006,9.880402007329893,-2.5892823308413138,-7.29111967648858
