,Unnamed: 0,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
47,47,2020-09-01,180000.0,3500.0,2704194,653513,690206,-36693,379237,288651,90586,-53893,,1671444,1725337,61.80932285183682,-6.226372535349896,63.80226418666708,12.73847807865993,-1.9929413348302674,-1.3568922939700332,3.3498336288003006
48,48,2020-08-31,176500.0,4500.0,5275614,1265543,962668,302875,932187,1501135,-568948,266073,,3077884,2811811,58.34172098261928,-3.467601869217539,53.29827011604714,-10.503994070619932,5.043450866572118,5.7410379152075945,-10.784488781779713
49,49,2020-08-28,172000.0,8500.0,5571784,1504633,1078484,426149,612285,298167,314118,-740267,,3454866,4195133,62.00645969046897,3.664738707849701,75.29245570180035,21.994185585753197,-13.28599601133138,7.648340280240584,5.637655731090796
50,50,2020-08-27,163500.0,-4000.0,2427108,488676,809357,-320681,138600,195549,-56949,377630,,1799832,1422202,74.15541459218132,12.148954901712345,58.596568426291704,-16.695887275508646,15.55884616588961,-13.212473445763436,-2.346372720126175
51,51,2020-08-26,167500.0,1500.0,2638394,640156,755594,-115438,216238,279091,-62853,178291,,1782000,1603709,67.54108749489272,-6.614327097288594,60.783529677523525,2.1869612512318284,6.757557817369203,-4.375313163992944,-2.3822446533762585
52,52,2020-08-25,166000.0,4500.0,3304089,964798,762302,202496,311021,518601,-207580,5084,,2028270,2023186,61.386663615901384,-6.154423878991338,61.232793668693546,0.4492639911700209,0.15386994720783853,6.128648471636206,-6.282518418844044
53,53,2020-08-24,161500.0,5500.0,2904566,931720,768423,163297,255807,349780,-93973,-69324,,1717039,1786363,59.115165570346825,-2.2714980455545586,61.501890471760674,0.2690968030671144,-2.3867249014138427,5.622079167765511,-3.2353542663516683
54,54,2020-08-21,156000.0,1000.0,3348383,756623,686027,70596,419972,605367,-185395,114799,,2171788,2056989,64.86079997419651,5.745634403849684,61.432309266890925,-0.06958120486974906,3.428490707305586,2.108360961096744,-5.53685166840233
55,55,2020-08-20,155000.0,-9500.0,3630223,724525,876430,-151905,167302,550325,-383023,534928,,2738396,2203468,75.43327228106924,10.572472306872728,60.69786897388948,-0.7344402930014411,14.735403307179752,-4.184453682321995,-10.550949624857756
56,56,2020-08-19,164500.0,6500.0,3298626,973161,916640,56521,394966,318539,76427,-132948,,1930499,2063447,58.524337102781594,-16.908935178287653,62.55474248975179,1.8568735158623115,-4.0304053869702114,1.7134710027750948,2.3169343841951164
