날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,,
2020-06-03,225500,-8500,1476614,333231,497582,-164351,227835,554278,-326443,490794,,
2020-06-02,234000,-3000,689584,166238,233525,-67287,129379,250827,-121448,188735,,
2020-06-01,237000,11000,1140644,382992,235415,147577,384411,308045,76366,-223943,,
2020-05-29,226000,-14500,3114298,499568,332750,166818,1628061,2352213,-724152,557334,,
2020-05-28,240500,12000,1625154,456124,424932,31192,453768,322743,131025,-162217,,
2020-05-27,228500,-10500,1351505,245341,445364,-200023,250791,476922,-226131,426154,,
2020-05-26,239000,-2000,1568016,396707,362679,34028,187524,546431,-358907,324879,,
2020-05-25,241000,10500,1015069,244099,275053,-30954,143106,236907,-93801,124755,,
2020-05-22,230500,5500,1108281,245842,252553,-6711,422178,428088,-5910,12621,,
2020-05-21,225000,3000,1004395,238586,276540,-37954,288426,394978,-106552,144506,,
2020-05-20,222000,8500,977544,329584,202354,127230,250855,251076,-221,-127009,,
2020-05-19,213500,-1500,917603,160257,270172,-109915,452184,398274,53910,56005,,
2020-05-18,215000,2000,638906,162344,153130,9214,229248,297338,-68090,58876,,
2020-05-15,213000,-6000,1050469,259930,266358,-6428,267501,475052,-207551,213979,,
2020-05-14,219000,500,866427,279708,302119,-22411,223742,271275,-47533,69944,,
2020-05-13,218500,-1000,1014692,198159,278171,-80012,315052,439019,-123967,203979,,
2020-05-12,219500,5000,1056584,199099,224432,-25333,423565,478655,-55090,80423,,
2020-05-11,214500,500,599328,155067,182558,-27491,158199,200761,-42562,70053,,
2020-05-08,214000,-1500,732394,161167,230068,-68901,271779,271417,362,68539,,
2020-05-07,215500,3500,984024,182367,216338,-33971,455589,409576,46013,-12042,,
2020-05-06,212000,13000,992225,324003,240140,83863,303945,330489,-26544,-57319,,
2020-05-04,199000,1500,1104027,157727,343924,-186197,685158,490348,194810,-8613,,
2020-04-29,197500,-500,676743,139629,240519,-100890,341697,244827,96870,4020,,
2020-04-28,198000,500,433549,114064,154772,-40708,175300,151644,23656,17052,,
2020-04-27,197500,5000,927347,289412,256588,32824,323749,344147,-20398,-12426,,
2020-04-24,192500,2500,928695,280120,255379,24741,286629,254250,32379,-57120,,
2020-04-23,190000,8000,1521478,542023,298162,243861,380727,375407,5320,-249181,,
2020-04-22,182000,3500,611589,216554,184653,31901,211125,223812,-12687,-19214,,
2020-04-21,178500,-1500,759150,250514,218587,31927,274121,274326,-205,-31722,,
2020-04-20,180000,1000,663723,143455,194918,-51463,289987,216279,73708,-22245,,
2020-04-17,179000,8500,900031,267363,153737,113626,271155,207106,64049,-177675,,
2020-04-16,170500,2000,841066,252440,132738,119702,378618,397431,-18813,-100889,,
2020-04-14,168500,2500,520725,223214,77224,145990,132018,187378,-55360,-90630,,
2020-04-13,166000,-500,413768,138728,170846,-32118,134016,82430,51586,-19468,,
2020-04-10,166500,-1000,483720,179789,235582,-55793,93120,129062,-35942,91735,,
2020-04-09,167500,1000,682921,265528,287212,-21684,190166,270793,-80627,102311,,
2020-04-08,166500,-3000,588577,161619,322304,-160685,144252,139162,5090,155595,,
2020-04-07,169500,-3500,873091,185339,409425,-224086,173781,241122,-67341,291427,,
2020-04-06,173000,1000,655547,234436,188425,46011,101153,251383,-150230,104219,,
2020-04-03,172000,-1500,663454,284095,172917,111178,163915,349405,-185490,74312,,
2020-04-02,173500,10500,1086863,350250,268480,81770,450247,429294,20953,-102723,,
2020-04-01,163000,-7000,720283,171792,265524,-93732,344108,331260,12848,80884,,
2020-03-31,170000,7500,858165,234791,239772,-4981,448027,407215,40812,-35831,,
2020-03-30,162500,-1500,630830,249220,156468,92752,224861,335851,-110990,18238,,
2020-03-27,164000,11500,1217815,272162,392332,-120170,735223,395112,340111,-219941,,
2020-03-26,152500,-3500,988725,239037,339867,-100830,414280,420430,-6150,106980,,
2020-03-25,156000,0,1039579,275923,330588,-54665,283470,402844,-119374,174039,,
2020-03-24,156000,13000,960786,386049,224534,161515,378975,490868,-111893,-49622,,
2020-03-23,143000,-11000,1033851,253950,260763,-6813,467128,522782,-55654,62467,,
2020-03-20,154000,10000,997895,480191,264693,215498,260251,519524,-259273,43775,,
2020-03-19,144000,-2000,1154230,445222,285662,159560,507975,501808,6167,-165727,,
2020-03-18,146000,-5000,666723,181495,178661,2834,290775,312256,-21481,18647,,
2020-03-17,151000,-4000,979243,257652,121884,135768,384980,597148,-212168,76400,,
2020-03-16,155000,-11000,812823,266580,191200,75380,270260,446273,-176013,100633,,
2020-03-13,166000,-500,1242510,526196,244192,282004,480739,724482,-243743,-38261,,
2020-03-12,166500,-3500,980814,408577,370121,38456,469186,504133,-34947,-3509,,
