날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,,
2020-02-27,"55,900",-600,23209541,10368801,10478966,-110165,5259588,8211594,-2952006,3062171,,
2020-02-26,"56,500","-1,400",25483102,11489239,10983443,505796,4194810,11228355,-7033545,6527749,,
2020-02-25,"57,900","1,100",23885408,11074596,9684954,1389642,4805764,9663023,-4857259,3467617,,
2020-02-24,"56,800","-2,400",25627537,10778617,8165657,2612960,3407907,11867125,-8459218,5846258,,
2020-02-21,"59,200",-800,13777393,4715645,7104588,-2388943,4805802,4012758,793044,1595899,,
2020-02-20,"60,000",-200,14591924,6929465,7319130,-389665,4075502,4272780,-197278,586943,,
2020-02-19,"60,200",400,12951496,5850073,5152797,697276,3684793,5586125,-1901332,1204056,,
2020-02-18,"59,800","-1,700",16674266,4255398,6713785,-2458387,3829417,7650843,-3821426,6279813,,
2020-02-17,"61,500",-300,8740596,4598057,4127009,471048,1610543,2791313,-1180770,709722,,
2020-02-14,"61,800","1,100",13276067,6639086,5939404,699682,4148327,2174510,1973817,-2673499,,
2020-02-13,"60,700",200,18449775,8992459,10908956,-1916497,6249910,2030492,4219418,-2302921,,
2020-02-12,"60,500",600,12904207,6604865,5088037,1516828,4157087,5151944,-994857,-521971,,
2020-02-11,"59,900",200,11071231,5918977,4029730,1889247,2407596,4071426,-1663830,-225417,,
2020-02-10,"59,700",-700,13107121,5911134,6174188,-263054,3408881,5091760,-1682879,1945933,,
2020-02-07,"60,400",-700,16402493,5808729,8245340,-2436611,5792845,5245559,547286,1889325,,
2020-02-06,"61,100","1,600",14727159,7109877,4626222,2483655,4983749,4214701,769048,-3252703,,
2020-02-05,"59,500",600,19278165,7232661,11691935,-4459274,7895824,3834364,4061460,397814,,
2020-02-04,"58,900","1,700",21800192,7284469,11081983,-3797514,8830414,5209866,3620548,176966,,
2020-02-03,"57,200",800,23995260,10171327,9094374,1076953,7284685,8894168,-1609483,532530,,
2020-01-31,"56,400",-800,19749457,8379882,6731201,1648681,5503936,9280651,-3776715,2128034,,
2020-01-30,"57,200","-1,900",20821939,7553738,9816238,-2262500,3406694,7053492,-3646798,5909298,,
2020-01-29,"59,100",300,16446102,6803858,9341679,-2537821,4396676,3922955,473721,2064100,,
2020-01-28,"58,800","-2,000",23664541,8873498,7815901,1057597,5919965,11220719,-5300754,4243157,,
2020-01-23,"60,800","-1,500",14916555,5581260,7487596,-1906336,3237422,5461159,-2223737,4130073,,
2020-01-22,"62,300",900,15339565,6882158,5233150,1649008,5156339,5041793,114546,-1763554,,
2020-01-21,"61,400","-1,000",11142693,4238313,5493358,-1255045,2458514,3348998,-890484,2145529,,
2020-01-20,"62,400","1,100",12528855,5296326,5074244,222082,3476695,3689452,-212757,-9325,,
2020-01-17,"61,300",600,16025661,6303523,7571072,-1267549,6248069,5253232,994837,272712,,
2020-01-16,"60,700","1,700",14381774,5117080,5793111,-676031,6459303,5319891,1139412,-463381,,
2020-01-15,"59,000","-1,000",14300928,5619653,5375506,244147,4353963,7328019,-2974056,2729909,,
2020-01-14,"60,000",0,16906295,5833294,7499380,-1666086,6016848,5672260,344588,1321498,,
2020-01-13,"60,000",500,11359139,3772640,5285463,-1512823,4370414,2945747,1424667,88156,,
2020-01-10,"59,500",900,16000170,4809954,7764148,-2954194,6395150,4767170,1627980,1326214,,
2020-01-09,"58,600","1,800",24102579,9264381,11567351,-2302970,11483869,7807976,3675893,-1372923,,
2020-01-08,"56,800","1,000",23501171,9268860,9195447,73413,10641781,6382596,4259185,-4332598,,
2020-01-07,"55,800",300,10009778,4359392,4307496,51896,3895791,3930090,-34299,-17597,,
2020-01-06,"55,500",0,10278951,4431535,5631189,-1199654,3545061,2767925,777136,422518,,
2020-01-03,"55,500",300,15422255,6860314,9088643,-2228329,5033166,3913035,1120131,1108198,,
2020-01-02,"55,200",-600,12993228,4587665,6942431,-2354766,4376476,4904874,-528398,2883164,,
2019-12-30,"55,800",-700,8356767,4155717,2291956,1863761,1925544,5077485,-3151941,1288180,,
2019-12-27,"56,500","1,100",12313056,6438579,5842109,596470,2051972,3248374,-1196402,599932,,
