,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
59,2020-08-13,360500.0,6500.0,1117859,383548,244786,138762,72335,124797,-52462,-86300,661976,748276,59.21820193781148,-14.687165208308294,66.93831690758853,-9.400684451090669
60,2020-08-12,354000.0,1500.0,729434,149448,154565,-5117,87369,106919,-19550,24667,492617,467950,67.53414291080482,8.315940972993339,64.15247986795242,-2.7858370396361067
61,2020-08-11,352500.0,-3500.0,750285,122035,163480,-41445,47995,157164,-109169,150614,580255,429641,77.3379449142659,9.803802003461087,57.263706458212546,-6.888773409739876
62,2020-08-10,356000.0,3000.0,1086391,147728,217453,-69725,120760,126191,-5431,75156,817903,742747,75.28624592803143,-2.05169898623447,68.36829465634379,11.104588198131246
63,2020-08-07,353000.0,-11000.0,1899111,147185,350313,-203128,100355,381410,-281055,484183,1651571,1167388,86.96548016413996,11.679234236108528,61.47023528377225,-6.898059372571545
64,2020-08-06,364000.0,-6500.0,1848898,279894,584447,-304553,124993,323582,-198589,503142,1444011,940869,78.10117161682257,-8.864308547317393,50.88809658510096,-10.582138698671287
65,2020-08-05,370500.0,500.0,1075879,243662,261359,-17697,57080,122209,-65129,82826,775137,692311,72.04685657030205,-6.054315046520514,64.3484072093609,13.46031062425994
66,2020-08-04,370000.0,4000.0,1714642,330317,410690,-80373,86084,181899,-95815,176188,1298241,1122053,75.71498890147332,3.6681323311712646,65.43949115908744,1.0910839497265385
67,2020-08-03,366000.0,22500.0,1636803,377682,308938,68744,125157,128910,-3753,-64991,1133964,1198955,69.2791985351933,-6.435790366280017,73.24980464967379,7.810313490586353
68,2020-07-31,343500.0,11500.0,1078837,254082,195282,58800,208974,111692,97282,-156082,615781,771863,57.07822405052848,-12.200974484664819,71.54584056720338,-1.7039640824704065
69,2020-07-30,332000.0,500.0,615872,176942,216144,-39202,64951,53919,11032,28170,373979,345809,60.72349449236205,3.645270441833567,56.14949210225502,-15.396348464948368
70,2020-07-29,331500.0,2000.0,618435,215792,224204,-8412,74828,35850,38978,-30566,327815,358381,53.00718749747346,-7.7163069948885905,57.949663262913646,1.8001711606586284
71,2020-07-28,329500.0,3000.0,873063,259347,240393,18954,106531,95527,11004,-29958,507185,537143,58.09260041944281,5.0854129219693505,61.52396791525927,3.5743046523456243
