,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,Unnamed: 12,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
82,2020-07-13,"53,400",700,12240188,5554184,4451949,1102235,4047948,2965273,1082675,-2184910,,,2638056,4822966,21.552414064228426,2.4103063327925867,39.40271178841371,15.468461608098853
83,2020-07-10,"52,700",-100,13714746,4794904,8391496,-3596592,3610216,2005688,1604528,1992064,,,5309626,3317562,38.714723553757395,17.16230948952897,24.18974438170419,-15.21296740670952
84,2020-07-09,"52,800",-200,17054850,7672370,9955619,-2283249,4729719,3219462,1510257,772992,,,4652761,3879769,27.281160491004027,-11.433563062753368,22.74877234335101,-1.4409720383531806
85,2020-07-08,"53,000",-400,19664652,8894979,10392756,-1497777,5193371,5409395,-216024,1713801,,,5576302,3862501,28.35698287465245,1.075822383648422,19.64184771741702,-3.106924625933992
86,2020-07-07,"53,400","-1,600",30760032,11690461,15754835,-4064374,5103654,5726685,-623031,4687405,,,13965917,9278512,45.40280387224564,17.045820997593193,30.16418188381599,10.52233416639897
87,2020-07-06,"55,000","1,400",19856623,10962106,6599152,4362954,3072581,1723880,1348701,-5711655,,,5821936,11533591,29.319869748244702,-16.08293412400094,58.084353014105176,27.920171130289187
88,2020-07-03,"53,600",700,11887868,6409811,5418146,991665,2769143,1150631,1618512,-2610177,,,2708914,5319091,22.78721466288152,-6.5326550853631815,44.743859874621755,-13.34049313948342
89,2020-07-02,"52,900",300,14142583,6957082,7427264,-470182,4101713,4188287,-86574,556756,,,3083788,2527032,21.80498428045287,-0.98223038242865,17.86824938556132,-26.875610489060435
90,2020-07-01,"52,600",-200,16706143,8449077,8021941,427136,3690754,5326597,-1635843,1208707,,,4566312,3357605,27.333131291884666,5.528147011431795,20.098026217062788,2.229776831501468
91,2020-06-30,"52,800",400,21157172,10311976,9071273,1240703,7136159,5515177,1620982,-2861685,,,3709037,6570722,17.530873218783682,-9.802258073100983,31.056712116345224,10.958685899282436
92,2020-06-29,"52,400",-900,17776925,9594661,10478909,-884248,3286709,3823944,-537235,1421483,,,4895555,3474072,27.53881787767007,10.007944658886387,19.542592433730803,-11.514119682614421
93,2020-06-26,"53,300","1,400",21575360,11059519,9614557,1444962,5560674,3293172,2267502,-3712464,,,4955167,8667631,22.966787112706346,-4.572030764963724,40.17374912863563,20.631156694904824
94,2020-06-25,"51,900","-1,000",18541624,8516119,12346277,-3830158,3891074,2268025,1623049,2207109,,,6134431,3927322,33.084647817257,10.117860704550655,21.181111212264902,-18.992637916370725
95,2020-06-24,"52,900","1,500",24519552,11584112,10309536,1274576,6094943,3275747,2819196,-4093772,,,6840497,10934269,27.898132070276,-5.1865157469810015,44.59408149055905,23.412970278294146
96,2020-06-23,"51,400",-600,18086152,9289508,10850224,-1560716,2739803,3213868,-474065,2034781,,,6056841,4022060,33.488831676301295,5.5906996060252965,22.238340140014305,-22.355741350544744
97,2020-06-22,"52,000",-900,13801350,7409457,7405819,3638,2268957,3656158,-1387201,1383563,,,4122936,2739373,29.873425425773565,-3.6154062505277302,19.84858727588243,-2.389752864131875
98,2020-06-19,"52,900",600,18157985,7603628,8121314,-517686,7652948,5665356,1987592,-1469906,,,2901409,4371315,15.978694772575261,-13.894730653198303,24.073789024498037,4.225201748615607
99,2020-06-18,"52,300",100,15982926,7720237,8129722,-409485,4986965,4714330,272635,136850,,,3275724,3138874,20.495145882549917,4.516451109974655,19.63891968216583,-4.434869342332206
100,2020-06-17,"52,200",100,26672595,12827521,12979182,-151661,9281541,7537292,1744249,-1592588,,,4563533,6156121,17.109445106484763,-3.3857007760651534,23.080322705758476,3.4414030235926454
101,2020-06-16,"52,100","2,200",21808375,11969652,8859331,3110321,3547574,5678813,-2131239,-979082,,,6291149,7270231,28.847399221629306,11.737954115144543,33.336876314718545,10.256553608960068
102,2020-06-15,"49,900","-2,400",28772921,9309859,13176403,-3866544,5049064,6589494,-1540430,5406974,,,14413998,9007024,50.09570630663463,21.248307085005326,31.303822090221566,-2.033054224496979
103,2020-06-12,"52,300","-2,000",26976019,9455821,11272827,-1817006,4828221,5623752,-795531,2612537,,,12691977,10079440,47.0491105451846,-3.0465957614500354,37.36444580647723,6.060623716255662
104,2020-06-11,"54,300","-1,100",33815123,13674291,20369695,-6695404,4704763,6312687,-1607924,8303328,,,15436069,7132741,45.648418904169006,-1.400691641015591,21.09334631135306,-16.27109949512417
105,2020-06-10,"55,400",-100,16742493,8288528,7199036,1089492,4125743,4476024,-350281,-739211,,,4328222,5067433,25.85171754290117,-19.796701361267836,30.266896333777773,9.173550022424713
106,2020-06-09,"55,500",600,23998831,10595919,13319422,-2723503,4211227,3094201,1117026,1606477,,,9191685,7585208,38.30055305610511,12.448835513203939,31.606572836818593,1.3396765030408204
107,2020-06-08,"54,900",-600,25634965,11523849,12668890,-1145041,4336552,5969457,-1632905,2777946,,,9774564,6996618,38.129812153049556,-0.17074090305555245,27.293261371724125,-4.313311465094468
108,2020-06-05,"55,500",900,22743629,12687208,9938655,2748553,3844962,3979527,-134565,-2613988,,,6211459,8825447,27.310764698105128,-10.819047454944428,38.80404046337548,11.510779091651354
109,2020-06-04,"54,600",100,40220334,17549603,15940604,1608999,9195981,7552302,1643679,-3252678,,,13474750,16727428,33.50233242717477,6.191567729069643,41.5894805846217,2.785440121246218
110,2020-06-03,"54,500","3,100",49257814,22439769,12877071,9562698,9905957,6627240,3278717,-12841415,,,16912088,29753503,34.33381757460857,0.8314851474337956,60.40362042862885,18.81413984400715
111,2020-06-02,"51,400",200,14247933,7258948,6357564,901384,2529164,2852030,-322866,-578518,,,4459821,5038339,31.30152984296038,-3.0322877316481858,35.361894248099006,-25.041726180529842
112,2020-06-01,"51,200",500,16949183,8267920,6170209,2097711,3883525,3940820,-57295,-2040416,,,4797738,6838154,28.30660333303381,-2.9949265099265716,40.34503609997013,4.983141851871125
113,2020-05-29,"50,700",300,27596961,8598574,10491385,-1892811,15415280,11648307,3766973,-1874162,,,3583107,5457269,12.983701357551652,-15.322901975482157,19.77489115558775,-20.57014494438238
114,2020-05-28,"50,400",500,31309318,13880170,11109010,2771160,8265604,5857102,2408502,-5179662,,,9163544,14343206,29.267785392195382,16.28408403464373,45.81130128736755,26.0364101317798
115,2020-05-27,"49,900",650,19548479,7943324,7819126,124198,5638212,2611763,3026449,-3150647,,,5966943,9117590,30.523822339323686,1.2560369471283046,46.640917689811054,0.8296164024435058
116,2020-05-26,"49,250",400,15127490,7483678,5821982,1661696,3211317,4057311,-845994,-815702,,,4432495,5248197,29.30092830998401,-1.2228940293396775,34.69311167946566,-11.947806010345396
117,2020-05-25,"48,850",100,14337913,7080068,6856281,223787,1864864,4090677,-2225813,2002026,,,5392981,3390955,37.613430908668505,8.312502598684496,23.650269045432204,-11.042842634033455
118,2020-05-22,"48,750","-1,200",19706284,6115808,8982988,-2867180,2210869,5710330,-3499461,6366641,,,11379607,5012966,57.74608241716196,20.132651508493453,25.43841345227746,1.7881444068452552
119,2020-05-21,"49,950",-50,14949266,5774835,8129197,-2354362,4770224,2865955,1904269,450093,,,4404207,3954114,29.461025042968664,-28.285057374193293,26.45022170319265,1.011808250915191
120,2020-05-20,"50,000",-300,14896899,5817531,5952563,-135032,5281725,5093113,188612,-53580,,,3797643,3851223,25.492842503664686,-3.968182539303978,25.852514674362766,-0.597707028829884
121,2020-05-19,"50,300","1,500",25168295,11201399,5980185,5221214,6136287,4377943,1758344,-6979558,,,7830609,14810167,31.11298957676712,5.620147073102434,58.84453833682417,32.992023662461406
122,2020-05-18,"48,800",950,20481981,8964510,7188363,1776147,5442883,4329456,1113427,-2889574,,,6074588,8964162,29.65820542456318,-1.4547841522039384,43.766088836817104,-15.078449500007068
123,2020-05-15,"47,850",-150,18463118,8734136,6896282,1837854,5077884,7183062,-2105178,267324,,,4651098,4383774,25.19129217502699,-4.466913249536191,23.74341105332263,-20.022677783494473
124,2020-05-14,"48,000",-550,19305974,8586280,9861037,-1274757,5403451,6623672,-1220221,2494978,,,5316243,2821265,27.536776958261726,2.3454847832347347,14.613430019122578,-9.129981034200053
125,2020-05-13,"48,550",650,20223277,6934988,7434183,-499195,8164890,8679255,-514365,1013560,,,5123399,4109839,25.33416814693286,-2.202608811328865,20.322319671534935,5.708889652412356
126,2020-05-12,"47,900",-500,23433590,7226425,10500588,-3274163,6295160,8276175,-1981015,5255178,,,9912005,4656827,42.29827781402678,16.964109667093922,19.872443786888823,-0.4498758846461115
127,2020-05-11,"48,400",-400,16357743,6405224,8093736,-1688512,3182796,4435166,-1252370,2940882,,,6769723,3828841,41.385434408646724,-0.9128434053800589,23.406902773811765,3.5344589869229424
128,2020-05-08,"48,800",0,15319700,6803516,5761273,1042243,3640751,5872372,-2231621,1189378,,,4875433,3686055,31.824598392918922,-9.560836015727801,24.060882393258353,0.6539796194465879
129,2020-05-07,"48,800",-400,13884411,6667366,6566134,101232,3326243,4752107,-1425864,1324632,,,3890802,2566170,28.02280917786142,-3.8017892150575037,18.482382868095737,-5.578499525162616
130,2020-05-06,"49,200",700,18070225,7246520,6246922,999598,5539413,7210229,-1670816,671218,,,5284292,4613074,29.243089114828397,1.2202799369669783,25.52859192400759,7.046209055911852
131,2020-05-04,"48,500","-1,500",26083749,5871802,10972059,-5100257,6224658,12103092,-5878434,10978691,,,13987289,3008598,53.62453457131488,24.381445456486485,11.534377209349776,-13.994214714657813
132,2020-04-29,"50,000",-100,15604533,7501517,7112352,389165,4137958,4031124,106834,-495999,,,3965058,4461057,25.409655002171483,-28.2148795691434,28.588212156044655,17.053834946694877
133,2020-04-28,"50,100",250,16095399,6170738,7089274,-918536,5369893,4768907,600986,317550,,,4554768,4237218,28.298571535878047,2.8889165337065634,26.32564747229938,-2.262564683745275
134,2020-04-27,"49,850",500,14049471,7276381,5026355,2250026,3509158,3799633,-290475,-1959551,,,3263932,5223483,23.23170744293504,-5.066864092943007,37.1792147903647,10.853567318065323
135,2020-04-24,"49,350",-500,15618347,5413509,8131335,-2717826,5143553,4512919,630634,2087192,,,5061285,2974093,32.406022225015235,9.174314782080195,19.042303260389847,-18.136911529974856
136,2020-04-23,"49,850",0,18754442,9298199,8593761,704438,4425233,5324472,-899239,194801,,,5031010,4836209,26.825698146604417,-5.580324078410818,25.78700555313776,6.744702292747913
137,2020-04-22,"49,850",600,18613864,7046805,9610308,-2563503,4184237,3399328,784909,1778594,,,7382822,5604228,39.66302751540465,12.837329368800233,30.107816410391735,4.320810857253974
138,2020-04-21,"49,250",-850,27407543,10395528,12071337,-1675809,4399145,8185791,-3786646,5462455,,,12612870,7150415,46.01970340792679,6.356675892522141,26.08922295588481,-4.018593454506924
139,2020-04-20,"50,100","-1,300",21866354,7255381,10829161,-3573780,5093828,6328269,-1234441,4808221,,,9517145,4708924,43.52415130570007,-2.4955521022267177,21.535021339177078,-4.554201616707733
140,2020-04-17,"51,400","2,400",32041675,10887353,8563576,2323777,10284642,5146545,5138097,-7461874,,,10869680,18331554,33.923569850827086,-9.600581454872987,57.21159708410999,35.67657574493291
141,2020-04-16,"49,000",0,23349760,7541934,7219293,322641,11542043,12611825,-1069782,747141,,,4265783,3518642,18.269065720589847,-15.654504130237239,15.069285508716149,-42.14231157539384
