,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,Unnamed: 12,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
63,2020-08-07,314000.0,-8000.0,1063254,279347,339735,-60388,197322,278660,-81338,141726,,,586585,444859,55.16884958815109,11.119032947088598,41.839391152067144,0.4463174946344992
64,2020-08-06,322000.0,8500.0,1032045,347262,317962,29300,299129,174691,124438,-153738,,,385654,539392,37.367944227238155,-17.800905360912935,52.26438769627293,10.424996544205783
65,2020-08-05,313500.0,2500.0,809939,156812,261767,-104955,264833,158124,106709,-1754,,,388294,390048,47.94114124643954,10.573197019201388,48.15770076511935,-4.106686931153575
66,2020-08-04,311000.0,-3500.0,1330818,413500,432639,-19139,158790,349681,-190891,210030,,,758528,548498,56.99712507645673,9.05598383001719,41.21510229047097,-6.942598474648378
67,2020-08-03,314500.0,13500.0,1341104,333463,315085,18378,434319,260619,173700,-192078,,,573322,765400,42.75000298261731,-14.247122093839423,57.072382156790226,15.857279866319253
68,2020-07-31,301000.0,7000.0,1567503,427562,424365,3197,644636,414497,230139,-233336,,,495305,728641,31.598344628367535,-11.151658354249776,46.48418535722101,-10.588196799569218
69,2020-07-30,294000.0,2000.0,1150474,312641,356386,-43745,409456,246714,162742,-118997,,,428377,547374,37.23482668882565,5.636482060458114,47.57812866696683,1.0939433097458249
70,2020-07-29,292000.0,4000.0,964066,333954,276223,57731,212516,274613,-62097,4366,,,417596,413230,43.31612151035303,6.081294821527379,42.86324795190371,-4.714880715063124
71,2020-07-28,288000.0,3500.0,978238,305809,302535,3274,292066,221764,70302,-73576,,,380363,453939,38.8824600966227,-4.433661413730327,46.403738149611854,3.540490197708145
72,2020-07-27,284500.0,3500.0,691075,228244,193861,34383,176344,165761,10583,-44966,,,286487,331453,41.45526896501826,2.572808868395562,47.961943349129974,1.5582051995181203
73,2020-07-24,281000.0,-3000.0,1233584,255031,291183,-36152,484261,523655,-39394,75546,,,494292,418746,40.069585857144716,-1.3856831078735468,33.94547918909454,-14.016464160035433
74,2020-07-23,284000.0,14000.0,1396607,475417,394383,81034,510634,155035,355599,-436633,,,410556,847189,29.396673509441097,-10.672912347703619,60.660515091217505,26.715035902122963
75,2020-07-22,270000.0,0.0,905784,295377,278655,16722,193023,287543,-94520,77798,,,417384,339586,46.07986009909648,16.68318658965538,37.49083666746156,-23.169678423755947
76,2020-07-21,270000.0,7000.0,1179638,350698,333653,17045,382186,335215,46971,-64016,,,446754,510770,37.8721268728203,-8.207733226276176,43.29887643497412,5.808039767512561
77,2020-07-20,263000.0,-13000.0,1556415,329904,483089,-153185,303165,548784,-245619,398804,,,923346,524542,59.32517998091769,21.453053108097386,33.70193682276257,-9.59693961221155
78,2020-07-17,276000.0,3000.0,926932,226565,293048,-66483,203950,109773,94177,-27694,,,496417,524111,53.55484544713096,-5.7703345337867304,56.54255112564891,22.840614302886344
79,2020-07-16,273000.0,-13500.0,1338814,245864,462634,-216770,216010,244711,-28701,245471,,,876940,631469,65.50125708276131,11.946411635630355,47.166297932349075,-9.376253193299839
80,2020-07-15,286500.0,-500.0,1276196,382515,408566,-26051,252980,290807,-37827,63878,,,640701,576823,50.203965535074545,-15.297291547686768,45.19862152835458,-1.9676764039944956
