,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
30,2020-09-24,221000.0,-7000.0,481274,122098,192382,-70284,148387,149648,-1261,71545,210789,139244,43.79812747000669,11.872458237815469,28.932375320503496,1.3532308931103856
31,2020-09-23,228000.0,-6000.0,411626,152441,182301,-29860,22398,73554,-51156,81016,236787,155771,57.52479192276484,13.72666445275815,37.84284763353141,8.910472313027917
32,2020-09-22,234000.0,-8500.0,408883,73941,165578,-91637,120671,73989,46682,44955,214271,169316,52.40398842700724,-5.120803495757599,41.40940073321708,3.5665530996856702
33,2020-09-21,242500.0,2500.0,425049,185230,156226,29004,76081,56743,19338,-48342,163738,212080,38.52214685836221,-13.88184156864503,49.89542382172408,8.486023088506997
34,2020-09-18,240000.0,-2000.0,465237,125968,141353,-15385,204603,165967,38636,-23251,134666,157917,28.945677149495847,-9.576469708866366,33.943345004804,-15.952078816920078
35,2020-09-17,242000.0,-500.0,592993,206701,174145,32556,124701,91871,32830,-65386,261591,326977,44.11367419176955,15.1679970422737,55.1401112660689,21.196766261264898
36,2020-09-16,242500.0,8500.0,658710,215338,159219,56119,210711,69836,140875,-196994,232661,429655,35.32070258535623,-8.792971606413317,65.22673103490155,10.086619768832648
37,2020-09-15,234000.0,1500.0,306934,84157,111154,-26997,94991,44851,50140,-23143,127786,150929,41.6330546632175,6.31235207786127,49.17311213485635,-16.053618900045194
38,2020-09-14,232500.0,6500.0,417530,161295,128920,32375,59460,39216,20244,-52619,196775,249394,47.12835005867842,5.495295395460921,59.73079778698537,10.557685652129017
39,2020-09-11,226000.0,2000.0,236329,90582,82095,8487,35236,68299,-33063,24576,110511,85935,46.761506205332395,-0.3668438533460261,36.36244388119951,-23.36835390578586
40,2020-09-10,224000.0,500.0,335130,155839,198467,-42628,58677,61260,-2583,45211,120614,75403,35.99021275325993,-10.771293452072463,22.49962701041387,-13.86281687078564
41,2020-09-09,223500.0,-2000.0,260718,77342,103445,-26103,56821,62473,-5652,31755,126555,94800,48.540952293282395,12.550739540022462,36.36112581409799,13.861498803684118
42,2020-09-08,225500.0,0.0,279719,76243,113277,-37034,17950,49701,-31751,68785,185526,116741,66.32584844075662,17.78489614747422,41.735098438075354,5.373972623977366
43,2020-09-07,225500.0,-4500.0,272841,45942,82554,-36612,15477,80448,-64971,101583,211422,109839,77.48908705069985,11.163238609943235,40.25751261723861,-1.4775858208367438
44,2020-09-04,230000.0,-3500.0,442319,76649,186724,-110075,112227,64903,47324,62751,253443,190692,57.2986916682304,-20.190395382469454,43.111871748670076,2.8543591314314654
45,2020-09-03,233500.0,-2000.0,425972,110871,118301,-7430,122542,175669,-53127,60557,192559,132002,45.204614387800135,-12.094077280430263,30.988421774201118,-12.123449974468958
46,2020-09-02,235500.0,-3000.0,564954,170458,137685,32773,115207,212558,-97351,64578,279289,214711,49.435706269891,4.231091882090865,38.005041118391944,7.016619344190826
47,2020-09-01,238500.0,14500.0,915042,387291,174277,213014,163668,144912,18756,-231770,364083,595853,39.78866543830775,-9.647040831583247,65.11755744545059,27.112516327058643
48,2020-08-31,224000.0,-2000.0,805029,332783,203906,128877,140140,356823,-216683,87806,332106,244300,41.25391756073384,1.4652521224260866,30.3467328506178,-34.77082459483279
49,2020-08-28,226000.0,9000.0,778178,356650,144729,211921,176534,210201,-33667,-178254,244994,423248,31.48302830457813,-9.770889256155709,54.389612659314444,24.042879808696643
50,2020-08-27,217000.0,-6500.0,322599,88826,104976,-16150,31820,77170,-45350,61500,201953,140453,62.60186795371343,31.1188396491353,43.53795269049191,-10.851659968822531
51,2020-08-26,223500.0,4000.0,345505,118942,119253,-311,86004,50067,35937,-35626,140559,176185,40.682189838063124,-21.919678115650306,50.9934733216596,7.455520631167687
52,2020-08-25,219500.0,2500.0,377235,147220,149952,-2732,84449,52800,31649,-28917,145566,174483,38.58761779792437,-2.0945720401387504,46.25313133723011,-4.740341984429492
53,2020-08-24,217000.0,6000.0,295989,117794,118123,-329,88402,53301,35101,-34772,89793,124565,30.3366003466345,-8.251017451289872,42.08433421512286,-4.16879712210725
54,2020-08-21,211000.0,6500.0,392349,118790,127795,-9005,154308,103855,50453,-41448,119251,160699,30.39411340413764,0.057513057503140175,40.95817754091383,-1.126156674209028
55,2020-08-20,204500.0,-12500.0,519337,176656,199303,-22647,45395,117716,-72321,94968,297286,202318,57.243369912022445,26.849256507884803,38.956977839052485,-2.0011997018613457
56,2020-08-19,217000.0,2500.0,369044,122861,88751,34110,86473,148360,-61887,27777,159710,131933,43.276682455208594,-13.966687456813851,35.74993767680819,-3.207040162244297
57,2020-08-18,214500.0,-9500.0,535693,198906,163030,35876,104746,138230,-33484,-2392,232041,234433,43.316041090699336,0.0393586354907427,43.76256549926917,8.012627822460985
58,2020-08-14,224000.0,-4000.0,462365,148029,148308,-279,48892,131122,-82230,82509,265444,182935,57.41005482681432,14.09401373611498,39.56506223438193,-4.197503264887246
59,2020-08-13,228000.0,-1500.0,983401,352588,338465,14123,115203,199146,-83943,69820,515610,445790,52.43130726936418,-4.978747557450134,45.33145685229118,5.766394617909256
60,2020-08-12,229500.0,-9500.0,604103,141425,220607,-79182,71288,154580,-83292,162474,391390,228916,64.78862048359304,12.357313214228853,37.893538022489544,-7.437918829801639
61,2020-08-11,239000.0,1000.0,626321,188158,185256,2902,70388,158048,-87660,84758,367775,283017,58.71988964125424,-6.068730842338795,45.187212308065675,7.293674285576131
62,2020-08-10,238000.0,14500.0,1265411,406267,331933,74334,145225,183196,-37971,-36363,713919,750282,56.41795432472138,-2.3019353165328624,59.291566139380805,14.10435383131513
63,2020-08-07,223500.0,1000.0,635205,231494,183579,47915,59326,103289,-43963,-3952,344385,348337,54.21635534984769,-2.20159897487369,54.83851669933328,-4.453049440047522
64,2020-08-06,222500.0,10000.0,831406,324758,139028,185730,113074,78363,34711,-220441,393574,614015,47.33836416864925,-6.877991181198439,73.85260630786884,19.014089608535556
65,2020-08-05,212500.0,4500.0,435388,151471,140267,11204,89001,100974,-11973,769,194916,194147,44.76834455703878,-2.570019611610469,44.591720488391964,-29.260885819476876
66,2020-08-04,208000.0,2000.0,371368,121331,95968,25363,65509,128358,-62849,37486,184528,147042,49.68871846793477,4.920373910895989,39.594687749079085,-4.997032739312878
67,2020-08-03,206000.0,500.0,292704,77332,113107,-35775,91844,113466,-21622,57397,123528,66131,42.202361429977046,-7.486357037957724,22.593131627856128,-17.001556121222958
68,2020-07-31,205500.0,-7500.0,386250,72674,181375,-108701,43568,113505,-69937,178638,270008,91370,69.90498381877023,27.702622388793188,23.655663430420713,1.0625318025645853
69,2020-07-30,213000.0,1000.0,399720,155571,131602,23969,65954,73038,-7084,-16885,178195,195080,44.57995596917843,-25.325027849591805,48.80416291403983,25.148499483619116
70,2020-07-29,212000.0,8000.0,557688,230901,124388,106513,136292,168134,-31842,-74671,190495,265166,34.15798797894163,-10.421967990236801,47.54737415902799,-1.25678875501184
71,2020-07-28,204000.0,500.0,333839,74649,166435,-91786,69630,76925,-7295,99081,189560,90479,56.78186191547423,22.623873936532604,27.102585377981605,-20.444788781046384
72,2020-07-27,203500.0,0.0,394211,135921,169442,-33521,75436,94683,-19247,52768,182854,130086,46.384804077004446,-10.397057838469784,32.999079173336106,5.896493795354502
73,2020-07-24,203500.0,-8000.0,566590,174686,263670,-88984,57460,129943,-72483,161467,334444,172977,59.02751548738947,12.642711410385026,30.52948340069539,-2.469595772640716
74,2020-07-23,211500.0,500.0,511415,199734,216375,-16641,90718,153480,-62762,79403,220963,141560,43.20620239922568,-15.821313088163791,27.680064135780142,-2.849419264915248
