,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p)
26,2020-10-05,187000.0,8500.0,2732820,607218,336792,270426,557591,337041,220550,-490976,,1568011,2058987,57.37703178401797,-17.100366426390806,75.34294245504644,14.579428950990994
27,2020-09-29,178500.0,3000.0,1475249,282548,266944,15604,399544,299441,100103,-115707,,793157,908864,53.76427979276719,-3.612751991250782,61.6074981240455,-13.735444331000942
28,2020-09-28,175500.0,5500.0,1374871,359279,332206,27073,263535,69474,194061,-221134,,752057,973191,54.70018641748935,0.9359066247221577,70.78416811468131,9.176669990635808
29,2020-09-25,170000.0,-1500.0,2076987,477428,497972,-20544,180234,236073,-55839,76383,,1419325,1342942,68.33576714731484,13.635580729825492,64.65818033526449,-6.125987779416818
30,2020-09-24,171500.0,-8000.0,2841908,698006,825321,-127315,162798,504756,-341958,469273,,1981104,1511831,69.71034952574115,1.374582378426311,53.19774602133496,-11.460434313929532
31,2020-09-23,179500.0,0.0,3481682,920042,1063345,-143303,222221,314794,-92573,235876,,2339419,2103543,67.19220767433671,-2.5181418514044367,60.41743617021888,7.21969014888392
32,2020-09-22,179500.0,-5500.0,3042046,724455,1050681,-326226,134820,394567,-259747,585973,,2182771,1596798,71.75338571474593,4.561178040409217,52.49092222800049,-7.926513942218385
33,2020-09-21,185000.0,4000.0,3133848,968910,905897,63013,303840,273023,30817,-93830,,1861098,1954928,59.3869900518468,-12.36639566289913,62.38107272592672,9.890150497926228
34,2020-09-18,181000.0,-3000.0,2584103,754440,864690,-110250,228479,558905,-330426,440676,,1601184,1160508,61.96285519578747,2.5758651439406677,44.909510185932994,-17.471562539993727
35,2020-09-17,184000.0,500.0,4383978,1040609,1089020,-48411,403815,399262,4553,43858,,2939554,2895696,67.05220692257123,5.089351726783761,66.05179131829586,21.14228113236286
36,2020-09-16,183500.0,4500.0,3401835,945776,729497,216279,569767,333657,236110,-452389,,1886292,2338681,55.449250184091824,-11.602956738479406,68.74763179284122,2.6958404745453635
37,2020-09-15,179000.0,-1000.0,2644009,753776,697650,56126,98200,257109,-158909,102783,,1792033,1689250,67.77711422313615,12.327864039044329,63.88972200926699,-4.857909783574229
38,2020-09-14,180000.0,8500.0,3145262,989426,661467,327959,229119,173347,55772,-383731,,1926717,2310448,61.257758495158754,-6.519355727977398,73.45804578442115,9.568323775154155
39,2020-09-11,171500.0,2500.0,1538378,466606,481611,-15005,212272,162953,49319,-34314,,859500,893814,55.87053376998371,-5.387224725175045,58.101064887823405,-15.35698089659774
40,2020-09-10,169000.0,1500.0,1326177,436508,548864,-112356,189145,167851,21294,91062,,700524,609462,52.822813244385934,-3.047720525597775,45.95630899947744,-12.144755888345962
41,2020-09-09,167500.0,-500.0,1685225,319295,515692,-196397,141677,159674,-17997,214394,,1224253,1009859,72.64626385200789,19.823450607621957,59.92428310759691,13.967974108119463
42,2020-09-08,168000.0,-2000.0,1933504,480333,736126,-255793,66445,250049,-183604,439397,,1386726,947329,71.72087567442323,-0.9253881775846651,48.99545074641687,-10.928832361180035
43,2020-09-07,170000.0,-2500.0,1516649,325372,478525,-153153,121929,153305,-31376,184529,,1069348,884819,70.50728283208574,-1.2135928423374907,58.340393855137215,9.344943108720344
