년/월/일,종가,대비,거래량(주),기관_매수량(주),기관_매도량(주),기관_순매수(주),외국인_매수량(주),외국인_매도량(주),외국인_순매수(주)
"2019/12/27","151,000","-4,000","232,178","78,935","116,622","-37,687","27,306","56,698","-29,392"
"2019/12/26","155,000","1,000","243,416","82,631","80,545","2,086","13,085","33,931","-20,846"
"2019/12/24","154,000",500,"248,367","71,134","51,469","19,665","118,179","98,877","19,302"
"2019/12/23","153,500",0,"256,464","53,680","56,118","-2,438","128,875","141,471","-12,596"
"2019/12/20","153,500","1,500","357,667","69,449","59,596","9,853","219,358","214,251","5,107"
"2019/12/19","152,000","2,500","231,618","90,134","58,044","32,090","102,927","55,956","46,971"
"2019/12/18","149,500",500,"317,487","71,747","119,995","-48,248","159,062","116,057","43,005"
"2019/12/17","149,000","1,000","221,518","103,100","87,840","15,260","64,929","72,356","-7,427"
"2019/12/16","148,000",-500,"279,018","155,071","118,155","36,916","52,910","105,687","-52,777"
"2019/12/13","148,500","1,000","312,926","104,660","42,368","62,292","125,831","195,505","-69,674"
"2019/12/12","147,500","1,500","639,388","305,250","283,729","21,521","280,295","283,624","-3,329"
"2019/12/11","146,000",500,"282,151","89,654","70,480","19,174","145,530","177,652","-32,122"
"2019/12/10","145,500",0,"147,285","52,527","36,742","15,785","25,111","81,625","-56,514"
"2019/12/09","145,500","4,000","319,733","205,917","147,997","57,920","53,297","73,841","-20,544"
"2019/12/06","141,500",-500,"171,097","63,401","51,178","12,223","39,707","72,385","-32,678"
"2019/12/05","142,000","-2,000","395,609","105,955","123,044","-17,089","174,723","217,810","-43,087"
"2019/12/04","144,000","-2,500","298,904","78,680","78,456","224","136,602","165,024","-28,422"
"2019/12/03","146,500","-1,000","222,422","76,203","71,564","4,639","97,031","117,059","-20,028"
"2019/12/02","147,500","1,000","264,608","85,684","80,176","5,508","127,044","157,226","-30,182"
"2019/11/29","146,500","-1,000","309,935","53,129","70,410","-17,281","195,692","185,119","10,573"
"2019/11/28","147,500","-2,500","244,653","68,622","139,971","-71,349","41,997","61,521","-19,524"
"2019/11/27","150,000",500,"224,938","81,006","83,054","-2,048","48,579","75,574","-26,995"
"2019/11/26","149,500","-1,000","379,389","94,589","102,326","-7,737","178,195","245,639","-67,444"
"2019/11/25","150,500","-1,500","366,745","134,628","134,510","118","59,737","161,442","-101,705"
"2019/11/22","152,000","-2,500","297,002","76,440","80,320","-3,880","57,831","178,528","-120,697"
"2019/11/21","154,500",-500,"183,714","70,783","57,329","13,454","57,279","101,356","-44,077"
"2019/11/20","155,000","-3,500","222,550","55,082","110,135","-55,053","21,468","88,505","-67,037"
"2019/11/19","158,500","-1,500","280,790","98,565","159,949","-61,384","48,535","98,633","-50,098"
"2019/11/18","160,000",500,"119,319","43,506","59,924","-16,418","38,055","44,003","-5,948"
"2019/11/15","159,500",500,"134,825","72,899","43,069","29,830","35,512","50,355","-14,843"
"2019/11/14","159,000","2,000","166,515","131,527","89,715","41,812","18,694","45,391","-26,697"
"2019/11/13","157,000","-3,500","244,531","55,074","90,379","-35,305","32,608","126,319","-93,711"
"2019/11/12","160,500",-500,"138,025","42,347","69,403","-27,056","22,183","50,055","-27,872"
"2019/11/11","161,000","-1,000","137,709","71,910","36,179","35,731","32,623","70,226","-37,603"
"2019/11/08","162,000","2,000","192,665","64,651","67,008","-2,357","80,283","55,148","25,135"
"2019/11/07","160,000",500,"136,468","40,879","50,724","-9,845","57,982","67,247","-9,265"
"2019/11/06","159,500","-1,500","188,805","40,094","79,331","-39,237","57,421","86,132","-28,711"
"2019/11/05","161,000",500,"167,674","38,856","68,004","-29,148","82,577","75,615","6,962"
"합계",,,"203,932,827","47,612,428","49,906,263","-2,293,835","32,034,350","43,839,755","-11,805,405"
