,Unnamed: 0,Unnamed: 0.1,날짜,종가,대비,거래량,기관 매수,기관 매도,기관 순매수,외국인 매수,외국인 매도,외국인 순매수,개인 순매수,Unnamed: 11,Unnamed: 12,개인 매수,개인 매도,개인매수비율(%),개인매수비율증가(%p),개인매도비율(%),개인매도비율증가(%p),개인 순매수비율,기관 순매수비율,외국인 순매수비율
82,166,166,2020-03-11,"52,100","-2,500",45707281,10272886,13115780,-2842894,15162035,25457808,-10295773,13138667,,,20272360,7133693,44.352583563218296,2.709020912261643,15.60734492169858,-14.367974496272753,28.74523864151972,-6.219783670789782,-22.52545497072993
83,165,165,2020-03-12,"50,800","-1,300",48149999,21240119,17749174,3490945,6858505,15967709,-9109204,5618259,,,20051375,14433116,41.64356265095665,-11.656927925248187,29.97531941797133,-10.1670580190784,11.668243232985322,7.250145529598037,-18.91838876258336
84,164,164,2020-03-13,"49,950",-850,59462933,18257711,14220758,4036953,9511187,21372340,-11861153,7824200,,,31694035,23869835,53.30049057620485,-5.8200847862123775,40.142377437049724,3.962309163737764,13.158113139155109,6.789024349000746,-19.947137488155857
85,163,163,2020-03-16,"48,900","-1,050",33339821,9340167,12617890,-3277723,4288960,8659561,-4370601,7648324,,,19710694,12062370,59.12057536241721,8.356333599765527,36.18006827331197,2.8993061466198142,22.94050708910525,-9.831255542733716,-13.10925154637153
86,162,162,2020-03-17,"47,300","-1,600",51218151,15784920,13296336,2488584,9432725,20876024,-11443299,8954715,,,26000506,17045791,50.76424176265169,-1.7644660131765593,33.280762126692146,-2.291653652969366,17.483479635959526,4.858793125897887,-22.342272761857405
87,161,161,2020-03-18,"45,600","-1,700",40152623,10842188,16506126,-5663938,8218781,9363239,-1144458,6808396,,,21091654,14283258,52.528707775828245,4.1307056357333485,35.57241577966152,-5.497497810752677,16.956291996166726,-14.106022413529498,-2.850269582637228
88,160,160,2020-03-19,"42,950","-2,650",56925513,21441169,19828729,1612440,7933533,13717525,-5783992,4171552,,,27550811,23379259,48.3980021400949,6.103233154736997,41.0699135904142,5.73285713950834,7.328088549680703,2.832543643480209,-10.160632193160911
89,159,159,2020-03-20,"45,400","2,450",49730008,20147823,18478699,1669124,8548993,13678188,-5129195,3460071,,,21033192,17573121,42.2947689853579,-10.225566792436474,35.337056450905855,10.050838594556561,6.957712534452035,3.3563718710843564,-10.314084405536393
90,158,158,2020-03-23,"42,500","-2,900",41701626,14029123,17278114,-3248991,5770669,13878748,-8108079,11357070,,,21901834,10544764,52.52033577779437,12.064267307485974,25.286217856349296,-27.549468679997865,27.23411792144508,-7.791041529172027,-19.443076392273053
91,157,157,2020-03-24,"46,950","4,450",49801908,19575238,16320914,3254324,10078776,7167814,2910962,-6165286,,,20147894,26313180,40.4560684703084,-12.026218650792842,52.83568653634716,8.726720355761564,-12.379618066038756,6.534536789233055,5.8450812768057
